date,fishoil_price_peru,fish_price_global,rapeseedoil_price_global,fishmeal_price_peru,peanutoil_price_global,soybeanoil_price_global,sunfloweroil_price_global,temperature_peru,precipitation_peru,fish_production_peru,fish_human_consumption_peru,fish_industrial_consumption_peru,gdp,fishmeal_price_hamburg,fishoil_export_peru,fishoil_fob_peru,fishoil_utilization_indicators,fishing_hours_peru
2012-09-01,2086.7,4.81,1268.69,1354.36,2469.18,1280.95,1572.25,19.74,79.14,3.52,20.46,4.54,49.12,1598.5,21.25,44.34,0.25,0.0
2012-08-01,1875.0,4.65,1230.73,1431.13,2469.18,1250.27,1525.43,19.01,36.45,3.55,18.21,30.22,41.25,1676.09,53.44,100.21,1.54,0.0
2012-07-01,1864.0,4.44,1214.67,1502.97,2450.28,1239.49,1472.27,18.71,53.98,4.93,18.94,608.06,110.5,1669.09,27.4,51.08,36.32,0.0
2012-06-01,1628.9,4.52,1183.37,1558.48,2425.08,1181.93,1430.48,19.0,77.69,3.16,21.45,993.93,163.4,1605.71,53.45,87.06,61.8,0.0
2012-05-01,2261.3,5.01,1234.88,1607.08,2408.05,1220.55,1522.17,19.53,88.02,2.47,22.96,1172.62,182.79,1526.09,5.17,11.68,71.08,0.0
2012-04-01,1641.0,4.98,1303.59,1734.07,2274.96,1308.89,1551.9,20.25,156.58,4.01,31.49,129.19,67.39,1401.67,26.69,43.81,7.89,0.0
2012-03-01,1594.9,5.05,1289.12,1766.55,2138.48,1285.38,1500.68,20.19,200.33,2.88,33.56,42.99,50.08,1293.18,13.57,21.64,2.45,0.0
2012-02-01,1564.7,4.77,1287.68,1760.57,2116.44,1249.12,1485.0,19.7,189.76,2.77,26.7,65.35,54.69,1260.0,20.77,32.5,3.44,0.0
2012-01-01,1301.9,4.35,1252.78,1616.04,2116.44,1216.28,1451.82,19.95,172.82,2.7,26.59,263.06,84.48,1229.09,59.37,77.29,16.61,0.0
2011-12-01,1416.1,4.55,1244.66,1515.66,2116.44,1203.28,1439.77,19.89,215.12,1.16,30.57,1702.3,264.57,1241.82,9.82,13.91,60.78,0.0
2011-11-01,1883.5,4.23,1273.54,1597.19,2116.44,1213.96,1502.5,20.17,158.38,1.59,23.95,514.13,110.18,1309.55,5.65,10.65,17.36,0.0
2011-10-01,1645.4,4.26,1270.51,1684.88,2116.44,1223.1,1483.81,19.37,107.57,1.67,21.48,0.78,52.07,1287.14,18.97,31.22,0.03,0.0
2011-09-01,1869.4,4.78,1309.99,1657.72,2113.43,1307.85,1591.59,19.27,105.28,2.43,21.94,1.13,52.49,1279.55,6.69,12.51,0.05,0.0
2011-08-01,1484.3,5.38,1350.5,1283.85,2076.18,1328.39,1671.3,18.87,35.7,2.41,20.27,27.16,54.79,1345.22,25.73,38.19,0.88,0.0
2011-07-01,1237.2,5.63,1392.95,1351.62,1945.58,1337.36,1672.38,18.39,91.52,1.61,19.3,466.48,94.38,1387.62,60.68,75.08,15.64,0.0
2011-06-01,1219.1,6.3,1401.82,1376.84,1700.57,1319.38,1699.32,19.17,84.64,1.87,22.75,706.11,123.36,1400.0,42.03,51.24,24.74,0.0
2011-05-01,1175.6,7.43,1406.76,1435.17,1632.47,1296.03,1644.09,19.33,116.82,2.01,22.64,1110.03,176.09,1420.46,27.28,32.07,38.91,0.0
2011-04-01,2063.4,7.84,1447.42,1476.94,1631.42,1310.45,1634.05,20.04,135.83,1.79,26.45,1689.68,248.98,1519.05,5.89,12.15,58.4,0.0
2011-03-01,1689.4,7.3,1411.8,1317.74,1637.17,1306.53,1636.96,19.59,167.75,1.93,21.33,227.75,76.34,1710.87,17.03,28.76,7.8,0.0
2011-02-01,1830.8,6.98,1403.14,1282.27,1653.47,1359.86,1704.74,19.96,254.54,2.12,28.54,145.25,78.76,1797.5,7.26,13.28,4.89,0.0
2011-01-01,1819.0,6.8,1440.75,1324.83,1653.47,1365.73,1492.0,20.11,156.0,2.35,26.78,409.3,114.44,1630.95,7.88,14.33,13.83,0.0
2010-12-01,1173.4,6.9,1382.99,1301.18,1644.45,1324.72,1454.0,19.82,150.75,4.37,31.89,142.17,71.85,1418.26,9.66,11.33,5.02,0.0
2010-11-01,1144.2,6.06,1242.32,1202.67,1543.24,1231.69,1441.0,19.82,151.97,4.45,24.88,234.25,79.46,1410.91,15.91,18.21,7.71,0.0
2010-10-01,1045.8,6.37,1149.51,1197.99,1471.32,1146.75,1284.0,19.57,104.45,4.0,19.8,1.65,38.56,1460.95,27.26,28.51,0.09,0.0
2010-09-01,1022.1,6.2,1032.57,1182.14,1426.71,1035.26,1114.0,19.41,58.68,4.32,20.94,2.66,41.51,1500.0,20.66,21.12,0.1,0.0
2010-08-01,987.0,6.44,1012.94,1155.87,1383.9,997.62,1074.0,18.52,51.11,3.87,20.26,1.39,34.75,1495.91,23.59,23.28,0.06,0.0
2010-07-01,1000.2,6.31,946.76,1139.59,1366.87,910.82,937.0,17.63,65.93,3.35,18.54,303.39,66.13,1546.36,55.8,55.81,10.55,0.0
2010-06-01,1274.6,5.95,876.07,1136.71,1366.87,860.28,889.0,18.78,66.53,3.75,19.86,1148.22,179.84,1652.27,19.13,24.39,42.3,0.0
2010-05-01,1212.2,6.32,862.49,1108.04,1366.87,859.49,910.0,19.68,97.86,3.54,20.4,1105.2,175.45,1816.67,13.1,15.88,39.4,0.0
2010-04-01,1393.9,6.48,909.13,1072.37,1361.62,902.83,924.0,20.78,141.78,3.37,17.52,50.23,40.94,1831.82,6.63,9.25,1.66,0.0
2010-03-01,1053.4,5.99,910.08,1061.33,1317.02,911.07,949.0,20.99,175.22,3.83,20.94,44.06,51.72,1710.44,22.54,23.74,1.41,0.0
2010-02-01,1366.5,5.54,900.93,1034.1,1287.5,909.19,948.0,21.21,182.78,3.14,21.59,76.52,52.49,1684.0,16.28,22.25,2.35,0.0
2010-01-01,869.6,5.15,914.09,1075.52,1275.53,920.55,968.0,21.14,159.57,5.49,28.32,220.69,79.49,1627.14,23.54,20.47,7.23,0.0
2009-12-01,995.7,5.05,938.29,1093.12,1181.87,939.91,986.0,20.75,248.85,4.38,25.31,935.22,157.12,1522.17,15.33,15.27,32.19,0.0
